,name,esrb,total_rating
567,Nidhogg 2,5,80.45171162
568,Nidhogg,5,84.24442985
569,NiOh,6,86.72668017
570,Ni no Kuni II: Revenant Kingdom,5,80.65049433
571,Next Up Hero,4,62
572,Nex Machina,5,85.60699796
573,New Gundam Breaker,5,43.75
574,New Everybody's Golf,3,79.2
575,Neverwinter,5,67.23957309
576,Neverending Nightmares,6,65.375
577,Never Alone,5,71.60428072
578,NeuroVoider,3,79.9
579,Need for Speed Rivals,4,74.8895023
580,Need for Speed,5,66.71439315
581,Need For Speed: Payback,5,57.07406693
582,Necropolis,5,64.32826445
583,Naruto: Ultimate Ninja Storm,5,74.80037347
584,Naruto to Boruto: Shinobi Striker,5,50
585,Naruto Shippuden: Ultimate Ninja Storm 4,5,75.36623028
586,Narcosis,6,70
587,NHL 18,4,58.0625
588,NHL 17,4,69.86111111
589,NHL 16,4,81.21558555
590,NHL 15,4,68.67097489
591,NBA Playgrounds,3,68.5
592,NBA Live 18,3,67.5
593,NBA Live 16,3,70.375
594,NBA Live 15,3,66
595,NBA Live 14,3,48.75
596,NBA 2K19,1,65.875
597,NBA 2K18,3,59.99795139
598,NBA 2K16,4,84.96891715
599,NBA 2K14,3,80.29909637
600,NASCAR Heat 2,3,50
601,N.E.R.O.: Nothing Ever Remains Obscure,3,55
602,N++,4,86.4
603,My Time at Portia,3,80
604,My Name is Mayo,5,69.59302326
605,Mutant Mudds Deluxe,3,82.5
606,Mutant Football League,6,72.5
607,Mushroom Wars 2,3,71.25
608,Murdered: Soul Suspect,6,64.05493318
609,Mr. Shifty,5,71.9375
610,MouseCraftï»¿,3,67.3078546
611,Mount & Blade: Warband,5,77.65615386
612,MotoGP 18,3,50
613,MotoGP 15,3,78.33333333
614,MotoGP 14,3,73.125
615,Moss,3,81.78571429
616,Mortal Kombat X,6,82.8666307
617,Morphite,5,74
618,Moonlighter,4,70.95
619,Monster Slayers,5,80
620,Monster Jam: Crush It!,3,50
621,Monster Jam,3,30
622,Monster Hunter: World,5,91.02529009
623,Monster Energy Supercross - The Official Videogame,3,74.16666667
624,Mitsurugi Kamui Hikae,5,69.28052065
625,Mirror's Edge Catalyst,5,71.09237339
626,Minit,3,73.97444294
627,Minecraft: Story Mode - Season Two,4,71.70318699
628,Minecraft,4,82.81715798
629,MilitAnt,4,35
630,Milanoir,6,41.25
631,Mighty Switch Force! Hyper Drive Edition,4,75.30747175
632,Mighty No. 9,4,53.77394387
633,Mighty Gunvolt,3,60
634,Middle-earth: Shadow of Mordor - Game of the Year Edition,6,80.00529987
635,Middle-earth: Shadow of Mordor,6,83.15439603
636,Metropolis: Lux Obscura,6,60
637,Metro: Last Light Redux,6,85.80291904
638,Metro 2033 Redux,6,73.31323146
639,Metrico+,3,70.2
640,Metal Gear Survive,6,54.89285714
641,Metal Gear Solid V: The Phantom Pain,6,91.27176105
642,Mervils: A VR Adventure,3,67.5
643,Mercenary Kings Reloaded,5,80
644,Mercenary Kings,5,74.95984887
645,Mekazoo,3,74.16666667
646,Megadimension Neptunia VIIR,5,83
647,Megadimension Neptunia VII,5,78.5
648,Mega Man X Collection,3,77.70750988
649,Mega Man Legacy Collection 2,4,75.7
650,Mega Man 11,4,75.94444444
651,Mecho Tales,4,60
652,Max: The Curse of Brotherhood,4,71.08606771
653,Max Payne,6,80.95897662
654,Matterfall,4,67.84615385
655,Masters of Anima,4,68.08333333
656,Mass Effect: Andromeda,6,74.10593528
657,Masquerada: Songs and Shadows,5,75.75
658,Marvel: Ultimate Alliance 2,5,72.75226552
659,Marvel: Ultimate Alliance,5,75.78697758
660,Marvel's Spider-Man,5,90.05087849
661,Marvel's Guardians of the Galaxy: The Telltale Series,5,70.84819331
662,Marvel Puzzle Quest,5,45
663,Marvel Heroes Omega,5,73.33333333
664,Mars 2030,3,50
665,Marooners,3,59.75
666,Mark McMorris Infinite Air,5,64.16666667
667,Manual Samuel,5,65.5
668,Mantis Burn Racing,3,72.625
669,Manhunt,6,76.28591732
670,Maldita Castilla EX,5,79.5
671,Maize,5,75
672,Mafia III,6,68.81562669
673,Madden NFL 25,3,77.48051948
674,Madden NFL 19,3,80.88888889
675,Madden NFL 18,3,64.7
676,Madden NFL 17,1,79.48879921
677,Madden NFL 16,3,84.24673924
678,Mad Max,6,75.42276222
679,Machinarium,4,83.71421077
680,MXGP: The Official Motocross Videogame,3,72.5
681,MXGP Pro,3,50
682,MXGP 3,3,80
683,MX vs. ATV Supercross Encore,3,35
684,MX vs. ATV All Out,1,50
685,MLB The Show 17,3,87
686,MLB The Show 16,3,84.71428571
687,MLB 15: The Show,3,78.75
688,MLB 14: The Show,3,82.5
689,Lumo,4,68.20820586
690,Lumines Remastered,3,86.16666667
691,Lovers in a Dangerous Spacetime,4,81.69881748
692,Lovely Planet,4,62.07563764
693,Lost Sphear,4,69.90909091
694,Lost Sea,4,59.57142857
695,Lost Orbit,5,73.16666667
696,Lone Survivor,6,73.60143714
697,Loading Human,5,53.33333333
698,Livelock,5,77.375
699,LittleBigPlanet 3,3,78.13509361
700,Little Nightmares,3,80.01404417
701,Little Dragons Cafe,4,60.66666667
702,Limbo,5,83.04903324
703,Lightfield,3,67
704,Lifeless Planet,5,60.21193497
705,Life is Strange: Before the Storm,6,75.56689866
706,Life is Strange,6,81.86087795
707,Lichtspeer,5,62.28571429
708,Lichdom: Battlemage,6,62.66666667
709,Lethal VR,5,74.16666667
710,Lethal League,4,70.67986478
711,Let's Sing 2016,5,50
712,Let Them Come,6,81.25
713,Let It Die,6,76.75
714,Leo's Fortune HD Edition,3,75
715,Lego The Hobbit,4,73.66094677
716,Lego Marvel Super Heroes 2,4,77.45833333
717,Lego Marvel Super Heroes,4,83.06274307
718,Lego Dimensions,3,80.79166667
719,Legend of Kay Anniversary,4,64.5
720,League of Evil,4,63
721,LawBreakers,6,69.39285714
722,Late Shift,6,58.94644167
723,Last Day of June,3,76.30390486
724,Lara Croft and the Temple of Osiris,5,73.46353932
725,Lara Croft GO,4,83.99608807
726,LEGO Worlds,4,65.48166887
727,LEGO The Incredibles,4,70.5
